Itemset,Size,Support_Count,Support_Percentage,Support_Decimal
HEART IVORY TRELLIS LARGE,1,479,3.40%,0.03404406538734897
SCOTTIE DOG HOT WATER BOTTLE,1,854,6.07%,0.06069651741293532
HEART FILIGREE DOVE LARGE,1,417,2.96%,0.029637526652452027
ASSORTED COLOUR BIRD ORNAMENT,1,1284,9.13%,0.09125799573560768
LOVE BUILDING BLOCK WORD,1,939,6.67%,0.06673773987206823
HOME BUILDING BLOCK WORD,1,1155,8.21%,0.08208955223880597
FELTCRAFT DOLL ROSIE,1,437,3.11%,0.0310589907604833
CHOCOLATE HOT WATER BOTTLE,1,791,5.62%,0.05621890547263682
PINK BLUE FELT CRAFT TRINKET BOX,1,562,3.99%,0.03994314143567875
HANGING HEART ZINC T-LIGHT HOLDER,1,728,5.17%,0.051741293532338306
RETRO SPOT TEA SET CERAMIC 11 PC,1,679,4.83%,0.04825870646766169
RED TOADSTOOL LED NIGHT LIGHT,1,529,3.76%,0.03759772565742715
BAKING SET 9 PIECE RETROSPOT,1,852,6.06%,0.06055437100213219
POSTAGE,1,633,4.50%,0.044989339019189764
RED WOOLLY HOTTIE WHITE HEART.,1,698,4.96%,0.0496090973702914
WHITE HANGING HEART T-LIGHT HOLDER,1,2904,20.64%,0.20639658848614073
VINTAGE SNAP CARDS,1,758,5.39%,0.05387348969438522
LADIES & GENTLEMEN METAL SIGN,1,538,3.82%,0.03823738450604122
BATHROOM METAL SIGN,1,664,4.72%,0.04719260838663824
LOVEBIRD HANGING DECORATION WHITE,1,422,3.00%,0.029992892679459843
JUMBO BAG PINK VINTAGE PAISLEY,1,632,4.49%,0.0449182658137882
PAPER CHAIN KIT RETRO SPOT,1,479,3.40%,0.03404406538734897
JUMBO BAG SCANDINAVIAN PAISLEY,1,632,4.49%,0.0449182658137882
LUNCH BAG WOODLAND,1,784,5.57%,0.05572139303482587
HEART FILIGREE DOVE  SMALL,1,473,3.36%,0.03361762615493959
PAPER CHAIN KIT 50'S CHRISTMAS,1,761,5.41%,0.054086709310589905
JUMBO BAG RED WHITE SPOTTY,1,457,3.25%,0.03248045486851457
HOT WATER BOTTLE TEA AND SYMPATHY,1,825,5.86%,0.05863539445628998
LUNCH BAG CARS BLUE,1,847,6.02%,0.06019900497512438
LUNCH BAG RED SPOTTY,1,1056,7.51%,0.07505330490405117
RED SPOTTY CHARLOTTE BAG,1,585,4.16%,0.04157782515991471
VICTORIAN GLASS HANGING T-LIGHT,1,615,4.37%,0.04371002132196162
RED SPOTTY ROUND CAKE TINS,1,409,2.91%,0.029068941009239516
RED HANGING HEART T-LIGHT HOLDER,1,978,6.95%,0.06950959488272922
RED SPOT HEART HOT WATER BOTTLE,1,403,2.86%,0.028642501776830136
ANTIQUE SILVER TEA GLASS ETCHED,1,626,4.45%,0.04449182658137882
PAPER BUNTING RETRO SPOTS,1,598,4.25%,0.04250177683013504
PAPER BUNTING WHITE LACE,1,396,2.81%,0.02814498933901919
PACK OF 60 PINK PAISLEY CAKE CASES,1,924,6.57%,0.06567164179104477
FELTCRAFT DOLL MOLLY,1,416,2.96%,0.029566453447050462
60 TEATIME FAIRY CAKE CASES,1,1133,8.05%,0.08052594171997157
WOOD 2 DRAWER CABINET WHITE FINISH,1,578,4.11%,0.041080312722103766
STRAWBERRY CERAMIC TRINKET BOX,1,1296,9.21%,0.09211087420042643
WOOD S/3 CABINET ANT WHITE FINISH,1,649,4.61%,0.046126510305614786
WOODEN FRAME ANTIQUE WHITE,1,992,7.05%,0.0705046197583511
PACK OF 72 RETRO SPOT CAKE CASES,1,1155,8.21%,0.08208955223880597
FAWN BLUE HOT WATER BOTTLE,1,489,3.48%,0.03475479744136461
JUMBO STORAGE BAG SKULLS,1,546,3.88%,0.03880597014925373
PINK 3 PIECE MINI DOTS CUTLERY SET,1,412,2.93%,0.02928216062544421
CHICK GREY HOT WATER BOTTLE,1,422,3.00%,0.029992892679459843
BLUE 3 PIECE MINI DOTS CUTLERY SET,1,444,3.16%,0.03155650319829424
PINK CREAM FELT CRAFT TRINKET BOX,1,703,5.00%,0.049964463397299215
SWEETHEART CERAMIC TRINKET BOX,1,805,5.72%,0.05721393034825871
WHITE SKULL HOT WATER BOTTLE,1,412,2.93%,0.02928216062544421
VINTAGE HEADS AND TAILS CARD GAME,1,581,4.13%,0.04129353233830846
WOODLAND CHARLOTTE BAG,1,541,3.85%,0.038450604122245914
COLOUR GLASS. STAR T-LIGHT HOLDER,1,421,2.99%,0.02992181947405828
JUMBO BAG TOYS,1,424,3.01%,0.03013503909026297
RED 3 PIECE MINI DOTS CUTLERY SET,1,457,3.25%,0.03248045486851457
JUMBO STORAGE BAG SUKI,1,960,6.82%,0.06823027718550106
CHOCOLATE THIS WAY METAL SIGN,1,440,3.13%,0.03127221037668799
