Antecedent,Consequent,Support,Support_Percentage,Confidence,Lift
"('DOLLY GIRL LUNCH BOX',)","('SPACEBOY LUNCH BOX',)",257,1.8265813788201846,0.6441102756892231,0.0015372560278979072
"('SPACEBOY LUNCH BOX',)","('DOLLY GIRL LUNCH BOX',)",257,1.8265813788201846,0.6133651551312649,0.0015372560278979072
"('HAND WARMER UNION JACK',)","('HAND WARMER OWL DESIGN',)",209,1.4854299928926795,0.5211970074812967,0.0009580827343406191
"('SET OF 36 TEATIME PAPER DOILIES',)","('60 TEATIME FAIRY CAKE CASES',)",220,1.5636105188343994,0.5472636815920398,0.00048302178428247114
"('TOY TIDY PINK RETROSPOT',)","('RECYCLING BAG RETROSPOT',)",221,1.570717839374556,0.5456790123456791,0.0008960246508139229
"('PINK 3 PIECE MINI DOTS CUTLERY SET',)","('RED 3 PIECE MINI DOTS CUTLERY SET',)",238,1.691542288557214,0.5776699029126213,0.0012640479275987338
"('RED 3 PIECE MINI DOTS CUTLERY SET',)","('PINK 3 PIECE MINI DOTS CUTLERY SET',)",238,1.691542288557214,0.5207877461706784,0.0012640479275987338
"('BLUE 3 PIECE MINI DOTS CUTLERY SET',)","('PINK 3 PIECE MINI DOTS CUTLERY SET',)",286,2.0326936744847193,0.6441441441441441,0.0015634566605440391
"('PINK 3 PIECE MINI DOTS CUTLERY SET',)","('BLUE 3 PIECE MINI DOTS CUTLERY SET',)",286,2.0326936744847193,0.6941747572815534,0.0015634566605440391
"('FELTCRAFT DOLL MOLLY',)","('FELTCRAFT DOLL ROSIE',)",223,1.5849324804548686,0.5360576923076923,0.0012266766414363668
"('FELTCRAFT DOLL ROSIE',)","('FELTCRAFT DOLL MOLLY',)",223,1.5849324804548686,0.5102974828375286,0.0012266766414363668
"('PLASTERS IN TIN STRONGMAN',)","('PLASTERS IN TIN CIRCUS PARADE',)",234,1.6631130063965887,0.5545023696682464,0.0009241706161137441
"('BATHROOM METAL SIGN',)","('TOILET METAL SIGN',)",344,2.4449182658137882,0.5180722891566265,0.0011992414100847836
"('TOILET METAL SIGN',)","('BATHROOM METAL SIGN',)",344,2.4449182658137882,0.7962962962962963,0.0011992414100847836
"('WICKER STAR',)","('HEART OF WICKER LARGE',)",236,1.6773276474769012,0.5327313769751693,0.0005392017985578637
"('BLUE 3 PIECE MINI DOTS CUTLERY SET',)","('RED 3 PIECE MINI DOTS CUTLERY SET',)",295,2.0966595593461266,0.6644144144144144,0.001453860863051235
"('RED 3 PIECE MINI DOTS CUTLERY SET',)","('BLUE 3 PIECE MINI DOTS CUTLERY SET',)",295,2.0966595593461266,0.6455142231947484,0.001453860863051235
"('SET OF 72 RETRO SPOT PAPER  DOILIES',)","('PACK OF 72 RETRO SPOT CAKE CASES',)",235,1.6702203269367448,0.5233853006681515,0.000453147446465932
"('EDWARDIAN PARASOL BLACK',)","('EDWARDIAN PARASOL NATURAL',)",264,1.8763326226012793,0.5301204819277109,0.0011303208569887226
"('EDWARDIAN PARASOL NATURAL',)","('EDWARDIAN PARASOL BLACK',)",264,1.8763326226012793,0.5628997867803838,0.0011303208569887226
"('SINGLE HEART ZINC T-LIGHT HOLDER',)","('HANGING HEART ZINC T-LIGHT HOLDER',)",294,2.0895522388059704,0.6024590163934426,0.0008275535939470366
