Itemset,Size,Support_Count,Support_Percentage,Support_Decimal
"('RED RETROSPOT TRADITIONAL TEAPOT',)",1,382,2.71499644633973,0.0271499644633973
"('RED RETROSPOT CAKE STAND', 'RED RETROSPOT TRADITIONAL TEAPOT')",2,134,0.9523809523809524,0.009523809523809525
"('RED RETROSPOT SMALL MILK JUG', 'RED RETROSPOT TRADITIONAL TEAPOT')",2,159,1.1300639658848615,0.011300639658848614
"('CLOTHES PEGS RETROSPOT PACK 24',)",1,385,2.736318407960199,0.02736318407960199
"('METAL 4 HOOK HANGER FRENCH CHATEAU',)",1,388,2.757640369580668,0.027576403695806682
"('METAL 4 HOOK HANGER FRENCH CHATEAU', 'WOODEN FRAME ANTIQUE WHITE')",2,107,0.7604832977967306,0.007604832977967307
"('METAL 4 HOOK HANGER FRENCH CHATEAU', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,182,1.2935323383084576,0.012935323383084577
"('RED SPOTTY SHOPPER BAG',)",1,390,2.771855010660981,0.02771855010660981
"('JUMBO BAG STRAWBERRY', 'RED SPOTTY SHOPPER BAG')",2,104,0.7391613361762616,0.0073916133617626155
"('RED SPOTTY CHARLOTTE BAG', 'RED SPOTTY SHOPPER BAG')",2,106,0.7533759772565742,0.007533759772565742
"('PACK OF 72 RETRO SPOT CAKE CASES', 'RED SPOTTY SHOPPER BAG')",2,115,0.8173418621179815,0.008173418621179816
"('LUNCH BAG RED SPOTTY', 'RED SPOTTY SHOPPER BAG')",2,130,0.9239516702203269,0.00923951670220327
"('MEMO BOARD RETROSPOT  DESIGN',)",1,391,2.778962331201137,0.02778962331201137
"('MEMO BOARD RETROSPOT  DESIGN', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,104,0.7391613361762616,0.0073916133617626155
"('MEMO BOARD COTTAGE DESIGN', 'MEMO BOARD RETROSPOT  DESIGN')",2,118,0.8386638237384506,0.008386638237384506
"('CHILLI LIGHTS',)",1,394,2.8002842928216065,0.028002842928216063
"('PAPER BUNTING WHITE LACE',)",1,396,2.814498933901919,0.02814498933901919
"('PAPER BUNTING WHITE LACE', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,101,0.7178393745557924,0.007178393745557924
"('PAPER BUNTING RETRO SPOTS', 'PAPER BUNTING WHITE LACE')",2,110,0.7818052594171997,0.007818052594171997
"('KEY FOB , SHED',)",1,396,2.814498933901919,0.02814498933901919
"('KEY FOB , SHED', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,125,0.8884150675195452,0.008884150675195452
"('TEA TIME TEA TOWELS',)",1,398,2.8287135749822316,0.028287135749822317
"('STRAWBERRY CERAMIC TRINKET BOX', 'TEA TIME TEA TOWELS')",2,104,0.7391613361762616,0.0073916133617626155
"('60 TEATIME FAIRY CAKE CASES', 'TEA TIME TEA TOWELS')",2,112,0.7960199004975124,0.007960199004975124
"('TEA TIME TEA TOWELS', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,125,0.8884150675195452,0.008884150675195452
"('RED RETROSPOT SMALL MILK JUG',)",1,399,2.8358208955223883,0.028358208955223882
"('RED RETROSPOT CAKE STAND', 'RED RETROSPOT SMALL MILK JUG')",2,104,0.7391613361762616,0.0073916133617626155
"('RED RETROSPOT SMALL MILK JUG', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,106,0.7533759772565742,0.007533759772565742
"('RED RETROSPOT SMALL MILK JUG', 'RETRO SPOT LARGE MILK JUG')",2,145,1.0305614783226724,0.010305614783226724
"('DOLLY GIRL LUNCH BOX',)",1,399,2.8358208955223883,0.028358208955223882
"('DOLLY GIRL LUNCH BOX', 'SPACEBOY LUNCH BOX')",2,257,1.8265813788201846,0.018265813788201846
"('MEMO BOARD COTTAGE DESIGN',)",1,400,2.8429282160625444,0.028429282160625444
"('MEMO BOARD COTTAGE DESIGN', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,103,0.7320540156361052,0.007320540156361052
"('12 PENCILS SMALL TUBE SKULL',)",1,401,2.850035536602701,0.02850035536602701
"('HAND WARMER UNION JACK',)",1,401,2.850035536602701,0.02850035536602701
"('HAND WARMER BIRD DESIGN', 'HAND WARMER UNION JACK')",2,179,1.2722103766879886,0.012722103766879886
"('HAND WARMER BIRD DESIGN', 'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER UNION JACK')",3,101,0.7178393745557924,0.007178393745557924
"('HAND WARMER BIRD DESIGN', 'HAND WARMER OWL DESIGN', 'HAND WARMER UNION JACK')",3,125,0.8884150675195452,0.008884150675195452
"('HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER UNION JACK')",2,182,1.2935323383084576,0.012935323383084577
"('HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER UNION JACK')",3,120,0.8528784648187633,0.008528784648187633
"('HAND WARMER OWL DESIGN', 'HAND WARMER UNION JACK')",2,209,1.4854299928926795,0.014854299928926794
"('SET OF 36 TEATIME PAPER DOILIES',)",1,402,2.857142857142857,0.02857142857142857
"('PACK OF 60 PINK PAISLEY CAKE CASES', 'SET OF 36 TEATIME PAPER DOILIES')",2,113,0.8031272210376688,0.008031272210376687
"('PACK OF 72 RETRO SPOT CAKE CASES', 'SET OF 36 TEATIME PAPER DOILIES')",2,115,0.8173418621179815,0.008173418621179816
"('SET OF 36 TEATIME PAPER DOILIES', 'SET OF 72 RETRO SPOT PAPER  DOILIES')",2,129,0.9168443496801706,0.009168443496801706
"('60 TEATIME FAIRY CAKE CASES', 'SET OF 36 TEATIME PAPER DOILIES')",2,220,1.5636105188343994,0.015636105188343994
"('RED SPOT HEART HOT WATER BOTTLE',)",1,403,2.8642501776830134,0.028642501776830136
"('RED SPOT HEART HOT WATER BOTTLE', 'RED WOOLLY HOTTIE WHITE HEART.')",2,110,0.7818052594171997,0.007818052594171997
"('RED SPOT HEART HOT WATER BOTTLE', 'WHITE HANGING HEART T-LIGHT HOLDER')",2,118,0.8386638237384506,0.008386638237384506
"('RED SPOT HEART HOT WATER BOTTLE', 'SCOTTIE DOG HOT WATER BOTTLE')",2,163,1.1584932480454868,0.011584932480454868
